"Time (s)","Illuminance (lx)"
0.000000000E0,1.167750072E1
2.076749690E-1,9.720000267E0
5.182257510E-1,1.134000015E1
8.287739280E-1,1.005750084E1
9.840449690E-1,8.437500000E0
1.449844344E0,6.480000496E0
2.226219032E0,8.437500000E0
2.381500438E0,7.155000210E0
4.555410310E0,5.805000305E0
5.331763383E0,7.425000191E0
8.903085622E0,6.142500401E0
1.231879250E1,4.860000134E0
1.309506771E1,6.142500401E0
1.356082161E1,7.425000191E0
1.464762703E1,8.775000572E0
1.480288594E1,1.100250053E1
1.511341927E1,6.480000496E0
1.526868104E1,8.775000572E0
1.542394114E1,1.134000015E1
1.557920099E1,1.491750050E1
1.573445880E1,1.714500046E1
1.588972135E1,1.944000053E1
1.604499203E1,2.335500145E1
1.620026651E1,2.821500206E1
1.635553573E1,3.172500038E1
1.666604484E1,3.820500183E1
1.728709505E1,4.245750046E1
2.256590682E1,7.870500183E1
2.272116713E1,9.463500214E1
2.303167469E1,6.932250214E1
2.318693218E1,5.703750229E1
2.334218338E1,6.736500549E1
2.411845401E1,5.764500046E1
2.442896338E1,6.966000366E1
2.473947797E1,8.194499969E1
2.489472849E1,1.094850006E2
2.504997942E1,8.781750488E1
2.520522437E1,1.311862549E3
